Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,4545927100,-1,N/A,,4545927100,,179910819,179910819,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,422,Lebanon,LBN,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,346261000,-1,N/A,,346261000,,12588751,12588751,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,862,Venezuela,VEN,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,442761600,-1,N/A,,442761600,,23480542,23480542,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,498,Rep. of Moldova,MDA,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,44197000,-1,N/A,,44197000,,1222923,1222923,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,682,Saudi Arabia,SAU,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,365629200,-1,N/A,,365629200,,12608559,12608559,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,364,Iran,IRN,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,149618900,-1,N/A,,149618900,,5366124,5366124,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,284000000,-1,N/A,,284000000,,9435484,9435484,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,112,Belarus,BLR,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,45521900,-1,N/A,,45521900,,960245,960245,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,764,Thailand,THA,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,400297800,-1,N/A,,400297800,,19809776,19809776,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,788,Tunisia,TUN,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,17906700,-1,N/A,,17906700,,1454403,1454403,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,504,Morocco,MAR,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,270387000,-1,N/A,,270387000,,12695805,12695805,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,360,Indonesia,IDN,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,363450700,-1,N/A,,363450700,,13677892,13677892,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,410,Rep. of Korea,KOR,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,216423000,-1,N/A,,216423000,,7113860,7113860,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,757,Switzerland,CHE,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,137950200,-1,N/A,,137950200,,4771389,4771389,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,13900,-1,N/A,,13900,,34602,34602,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,191,Croatia,HRV,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,123631000,-1,N/A,,123631000,,3675991,3675991,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,579,Norway,NOR,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,112501300,-1,N/A,,112501300,,4297592,4297592,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,40387000,-1,N/A,,40387000,,1687768,1687768,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,804,Ukraine,UKR,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,160257000,-1,N/A,,160257000,,5077511,5077511,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,643,Russian Federation,RUS,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,74551000,-1,N/A,,74551000,,2570740,2570740,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,1269600,-1,N/A,,1269600,,163462,163462,,0
H1,2000,2000,2000,6,1,0,M,97,EU-28,EUR,792,Turkey,TUR,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,948911300,-1,N/A,,948911300,,37217399,37217399,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,862,Venezuela,VEN,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,467410600,-1,N/A,,467410600,,26183150,26183150,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,13650000,-1,N/A,,13650000,,765647,765647,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,422,Lebanon,LBN,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,378645000,-1,N/A,,378645000,,14651668,14651668,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,498,Rep. of Moldova,MDA,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,65000,-1,N/A,,65000,,2579,2579,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,682,Saudi Arabia,SAU,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,386007600,-1,N/A,,386007600,,13423726,13423726,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,364,Iran,IRN,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,304642600,-1,N/A,,304642600,,9528384,9528384,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,112,Belarus,BLR,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,3717500,-1,N/A,,3717500,,65658,65658,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,425100000,-1,N/A,,425100000,,14173200,14173200,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,764,Thailand,THA,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,503437800,-1,N/A,,503437800,,25865211,25865211,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,788,Tunisia,TUN,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,27327700,-1,N/A,,27327700,,2217724,2217724,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,410,Rep. of Korea,KOR,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,48000000,-1,N/A,,48000000,,1438761,1438761,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,504,Morocco,MAR,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,181528800,-1,N/A,,181528800,,7514942,7514942,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,757,Switzerland,CHE,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,121314100,-1,N/A,,121314100,,4156696,4156696,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,191,Croatia,HRV,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,50422800,-1,N/A,,50422800,,1764008,1764008,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,804,Ukraine,UKR,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,13161000,-1,N/A,,13161000,,444573,444573,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,293834000,-1,N/A,,293834000,,10291496,10291496,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,579,Norway,NOR,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,35191600,-1,N/A,,35191600,,1295686,1295686,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,1649400,-1,N/A,,1649400,,231998,231998,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,792,Turkey,TUR,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,2223257300,-1,N/A,,2223257300,,84991508,84991508,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,1300,-1,N/A,,1300,,3036,3036,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,484,Mexico,MEX,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,300,-1,N/A,,300,,985,985,,0
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,2092,-1,N/A,,2092,,3860,3860,,6
H1,2001,2001,2001,6,1,0,M,97,EU-28,EUR,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,5478366492,-1,N/A,,5478366492,,219014496,219014496,,6
H2,2002,2002,2002,6,1,0,M,97,EU-28,EUR,422,Lebanon,LBN,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,362714000,-1,N/A,,362714000,,14629778,14629778,,0
H2,2002,2002,2002,6,1,0,M,97,EU-28,EUR,862,Venezuela,VEN,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,325991900,-1,N/A,,325991900,,20662407,20662407,,0
H2,2002,2002,2002,6,1,0,M,97,EU-28,EUR,682,Saudi Arabia,SAU,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,709209200,-1,N/A,,709209200,,23466462,23466462,,0
H2,2002,2002,2002,6,1,0,M,97,EU-28,EUR,364,Iran,IRN,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,129810100,-1,N/A,,129810100,,4587253,4587253,,0
H2,2002,2002,2002,6,1,0,M,97,EU-28,EUR,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,16000000,-1,N/A,,16000000,,540263,540263,,0
H2,2002,2002,2002,6,1,0,M,97,EU-28,EUR,764,Thailand,THA,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,252365700,-1,N/A,,252365700,,16744226,16744226,,0
H2,2002,2002,2002,6,1,0,M,97,EU-28,EUR,818,Egypt,EGY,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,80040000,-1,N/A,,80040000,,2513213,2513213,,0
H2,2002,2002,2002,6,1,0,M,97,EU-28,EUR,757,Switzerland,CHE,0,World,W00,C00,All CPCs,0,All MOTs,252310,Cement clinkers (whether or not coloured),8,kg,120141500,-1,N/A,,120141500,,4475514,4475514,,0
